RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,UGSY1501,SN,1,1,MZ,67,     -99,     -99,     -99,     -99,     -99,     128,     -99,    2067,     -99,     -99,     -99,     777,     -99,  0.2662,     -99,   129.4,     -99,    7613,     -99,    5597,     -99,    2.20,     -99,   0.272,     -99,     -99,     -99,      25,     -99,      58,     -99,      33,     -99,     1.2,     -99,    4469,     -99,      50,     -99,   22.22,     -99,       7,     -99
2,UGSY1501,SN,1,1,MZ,70,     -99,     -99,     -99,     -99,     -99,     132,     -99,    1369,     -99,     -99,     -99,     712,     -99,  0.1923,     -99,   118.6,     -99,    7290,     -99,    5979,     -99,    2.45,     -99,   0.188,     -99,     -99,     -99,      18,     -99,      59,     -99,      41,     -99,     1.3,     -99,    5034,     -99,      55,     -99,   22.48,     -99,       7,     -99
3,UGSY1501,SN,1,1,MZ,-99,     -99,     -99,     -99,     -99,     -99,     -99,     -99,       0,     -99,     -99,     -99,       0,     -99,  0.0000,     -99,     0.0,     -99,    1921,     -99,    1925,     -99,    2.25,     -99,   0.000,     -99,     -99,     -99,       0,     -99,      42,     -99,      42,     -99,     0.0,     -99,       0,     -99,       0,     -99,   15.51,     -99,       6,     -99
4,UGSY1501,SN,1,1,MZ,69,     -99,     -99,     -99,     -99,     -99,     132,     -99,    2233,     -99,     -99,     -99,     807,     -99,  0.2767,     -99,   134.5,     -99,    8506,     -99,    6331,     -99,    2.54,     -99,   0.263,     -99,     -99,     -99,      25,     -99,      61,     -99,      36,     -99,     1.1,     -99,    5039,     -99,      54,     -99,   22.21,     -99,       6,     -99
5,UGSY1501,SN,1,1,MZ,73,     -99,     -99,     -99,     -99,     -99,     148,     -99,    1326,     -99,     -99,     -99,     444,     -99,  0.2986,     -99,    74.0,     -99,    6077,     -99,    4805,     -99,    2.44,     -99,   0.218,     -99,     -99,     -99,      18,     -99,      53,     -99,      35,     -99,     1.3,     -99,    4655,     -99,      50,     -99,   21.77,     -99,       9,     -99
6,UGSY1501,SN,1,1,MZ,73,     -99,     -99,     -99,     -99,     -99,     136,     -99,    2594,     -99,     -99,     -99,     908,     -99,  0.2857,     -99,   151.3,     -99,    8560,     -99,    6017,     -99,    2.09,     -99,   0.303,     -99,     -99,     -99,      28,     -99,      61,     -99,      33,     -99,     1.1,     -99,    4532,     -99,      52,     -99,   22.76,     -99,       7,     -99
7,UGSY1501,SN,1,1,MZ,67,     -99,     -99,     -99,     -99,     -99,     133,     -99,    2702,     -99,     -99,     -99,     900,     -99,  0.3002,     -99,   150.0,     -99,    9180,     -99,    6535,     -99,    2.57,     -99,   0.294,     -99,     -99,     -99,      30,     -99,      67,     -99,      37,     -99,     1.1,     -99,    5019,     -99,      54,     -99,   21.77,     -99,       7,     -99
8,UGSY1501,SN,1,1,MZ,65,     -99,     -99,     -99,     -99,     -99,     120,     -99,    1381,     -99,     -99,     -99,     881,     -99,  0.1569,     -99,   146.8,     -99,    7511,     -99,    6184,     -99,    2.53,     -99,   0.184,     -99,     -99,     -99,      18,     -99,      59,     -99,      41,     -99,     1.3,     -99,    4957,     -99,      54,     -99,   22.56,     -99,       7,     -99
9,UGSY1501,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     114,     -99,    1146,     -99,     -99,     -99,     679,     -99,  0.1687,     -99,   113.2,     -99,    5800,     -99,    4705,     -99,    2.12,     -99,   0.198,     -99,     -99,     -99,      16,     -99,      55,     -99,      39,     -99,     1.4,     -99,    4102,     -99,      50,     -99,   22.21,     -99,       6,     -99
10,UGSY1501,SN,1,1,MZ,70,     -99,     -99,     -99,     -99,     -99,     136,     -99,    1360,     -99,     -99,     -99,     707,     -99,  0.1925,     -99,   117.8,     -99,    7083,     -99,    5779,     -99,    2.43,     -99,   0.192,     -99,     -99,     -99,      17,     -99,      55,     -99,      38,     -99,     1.3,     -99,    4723,     -99,      52,     -99,   22.82,     -99,       6,     -99
