RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,DAP,L#SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,VWAD,CWAD,G#AD,GWGD,HIAD,PWAD,P#AD,WSPD,WSGD,NSTD,EWSD,PST1A,PST2A,KSTD,LN%D,SH%D,HIPD,PWDD,PWTD,SLAD,CHTD,CWID,RDPD,CDAD,LDAD,SDAD,SNW0C,SNW1C,DTTD,RL1D,RL2D,RL3D,RL4D,RL5D,RL6D
1,UGSY1501,1,0,1,1984,334,2,0,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.5000000E-01,0,0,0,0,0,14.10779,.000000,.000000,.000000,.000000,.000000,.000000
1,UGSY1501,1,0,1,1984,342,10,8,2.000000,1,.4104068E-02,12,12,0,12,24,24,0,.000000,.000000,0,0,.000000,.000000,.1741037E-02,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,34.20057,.2275929E-02,.000000,.1911921,0,0,0,0,0,10.25668,.2360000,.1210000,.1300000E-01,.000000,.000000,.000000
1,UGSY1501,1,0,1,1984,352,20,18,6.000000,1,.1568059,64,12,0,30,76,76,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.375244,.000000,.000000,0,0,243.8328,.8695739E-01,.000000,.3072252,0,0,0,0,0,13.71715,.2660000,.3540000,.7500000E-01,.000000,.000000,.000000
1,UGSY1501,1,0,1,1984,362,30,28,10.00000,2,.6566662,360,12,0,142,372,372,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.694910,.000000,.000000,0,0,182.1801,.3641571,.000000,.4825127,0,0,0,0,3,14.99767,.2460000,1.616000,.5760000,.1060000,.000000,.000000
1,UGSY1501,1,0,1,1985,6,40,38,14.00000,3,1.708198,1184,106,0,485,1290,1290,0,.000000,.000000,0,0,.000000,.4799998E-02,.3375459E-02,.000000,.000000,.000000,.000000,2.869225,.000000,.000000,0,0,144.2640,.9472885,.000000,.6499689,0,0,0,0,20,11.40000,1.380000,3.991000,1.792000,.5330001,.1280000,.000000
1,UGSY1501,1,0,1,1985,16,50,48,17.00000,3,2.014097,1716,431,0,984,2147,2147,0,.000000,.000000,0,0,.000000,.000000,.1097829E-01,.000000,.000000,.000000,.000000,2.075922,.000000,.000000,0,0,117.3907,1.116926,.000000,.7862516,0,0,0,0,57,12.60000,3.888000,4.000000,3.203000,1.615000,.9420000,.2130000
1,UGSY1501,1,0,1,1985,26,60,58,21.00000,3,2.157160,2265,1171,0,1341,3436,3556,0,.000000,.000000,121,0,.000000,.000000,.2052077E-01,.000000,.000000,.000000,.000000,1.407447,.000000,.3396943E-01,0,121,95.24406,1.218691,.000000,.9000000,0,0,0,0,110,13.25000,3.940000,4.000000,4.000000,2.458000,1.579000,.6020000
1,UGSY1501,1,0,1,1985,36,70,68,22.00000,4,1.803415,2438,1616,0,1498,4054,4581,0,.000000,.000000,527,0,.7107170E-01,.8080000E-01,.2404273E-01,.000000,.000000,.000000,.000000,1.237222,.000000,.1150348,0,527,73.97578,1.218691,.000000,.9000000,0,0,0,0,183,14.10000,3.743000,3.996000,3.983000,2.864000,1.893000,.8200000
1,UGSY1501,1,0,1,1985,46,80,78,22.00000,4,1.381552,2054,2353,0,1478,4408,5434,0,.000000,.000000,1026,0,.000000,.000000,.1926968E-01,.000000,.000000,.000000,.000000,1.171162,.000000,.1887828,0,1026,67.24731,1.218691,.000000,.9000000,0,0,0,0,257,13.75000,3.749000,4.000000,3.941000,2.836000,1.882000,.8310000
1,UGSY1501,1,0,1,1985,56,90,88,22.00000,5,1.091583,2007,2441,451,1688,4448,5997,777,58.10565,.7523966E-01,1549,6,.000000,.000000,.1763431E-01,.000000,.000000,.000000,.000000,1.110446,29.12741,.2583123,0,1549,54.39655,1.218691,.000000,.9000000,0,0,0,0,336,14.75000,4.000000,4.000000,4.000000,3.334000,2.260000,1.088000
1,UGSY1501,1,0,1,1985,66,100,98,22.00000,5,.8911574,2007,2441,933,1826,4448,6479,777,120.1057,.1439642,2031,6,.000000,.000000,.1501600E-01,.000000,.000000,.000000,.000000,1.030603,45.93164,.3134315,0,2031,44.40878,1.218691,.000000,.9000000,0,0,0,0,423,11.80000,3.880000,4.000000,4.000000,3.678000,2.524000,1.272000
1,UGSY1501,1,0,1,1985,76,110,108,22.00000,5,.7401249,2007,2441,1414,1936,4448,6960,777,182.1057,.2031808,2512,6,.000000,.000000,.1432477E-01,.000000,.000000,.000000,.000000,.9251630,56.29446,.3609250,0,2512,36.88242,1.218691,.000000,.9000000,0,0,0,0,518,13.70000,3.859000,4.000000,4.000000,3.961000,2.744000,1.426000
1,UGSY1501,1,0,1,1985,86,120,118,22.00000,5,.6126375,2007,2441,1869,2012,4448,7415,777,240.6720,.2520547,2967,6,.3486744E-01,.5660000E-01,.1536388E-01,.000000,.000000,.000000,.000000,.8073881,62.99424,.4001234,0,2967,30.52938,1.218691,.000000,.9000000,0,0,0,0,616,12.25000,3.666000,4.000000,4.000000,4.000000,2.907000,1.544000
