RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
1,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF38401,1984,UGSYFREKU3,        -23.667,         29.600,     1250,1984333,1984334,1984341,1985035,1985096,1985096,1985,-99,7613,2067,2067,0,3165,.2661814,777,129.4250,.2715168,2.197605,-99.00000,-99,-99,-99,-99,-99,0,0,382,316,204,112,39,114,0,1,40,0,72,1,5,38,58,25,.9179004E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9233,9233,0,0,92492,92492,372.6641,.000000,20.56430,24.29867,37.36417,-99.00000,5.583467,6.597397,10.14484,-99.00000,190.3226,105.7348,51.67500,28.70833,128,26.95937,16.10469,17.20937,12.88071,380.0000,370.2001,313.3054,109.7899,203.7488,1,
2,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF38501,1985,UGSYFREKU3,        -23.667,         29.600,     1250,1985333,1985334,1985341,1986039,1986101,1986101,1986,-99,7290,1369,1369,0,2310,.1923159,712,118.6201,.1877556,2.447569,-99.00000,-99,-99,-99,-99,-99,0,0,194,256,153,103,0,3,22,1,40,0,67,0,6,33,59,18,.6882392E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9237,9237,0,0,92511,92511,325.4688,.000000,42.53252,29.00020,47.66968,-99.00000,7.987165,5.445937,8.951871,-99.00000,182.2518,108.8071,34.22500,20.43284,132,27.18181,15.05530,17.16136,12.82834,380.0000,171.4000,251.3801,98.53130,152.9289,1,
3,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF38601,1986,UGSYFREKU3,        -23.667,         29.600,     1250,1986333,1986334,1986340,-99,-99,1987012,1987,-99,1921,0,0,0,0,.000000,0,.000000,.000000,2.249427,-99.00000,-99,-99,-99,-99,-99,0,0,220,124,40,84,3,54,125,1,40,0,47,1,9,17,42,0,.7089525E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9251,9251,0,0,92517,92517,151.8125,.000000,10.82709,16.15792,47.48344,-99.00000,.000000,.000000,.000000,-99.00000,48.01814,40.86650,.000000,.000000,43,26.47442,15.60930,16.38837,13.42399,380.0000,177.4000,118.8720,81.48361,40.45042,1,
4,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF38701,1987,UGSYFREKU3,        -23.667,         29.600,     1250,1987333,1987334,1987340,1988038,1988101,1988101,1988,-99,8506,2233,2233,0,3417,.2766740,807,134.5420,.2625717,2.541395,-99.00000,-99,-99,-99,-99,-99,0,0,398,373,221,152,5,107,0,1,40,0,73,2,5,40,61,25,.1539097,-99,-99,-99,-99,-99,-99,-99,-99,0,9231,9231,0,0,92464,92464,389.1250,.000000,21.39357,23.00552,38.46255,-99.00000,5.616197,6.039365,10.09711,-99.00000,212.6521,116.5217,55.82500,30.58904,132,26.65758,15.72121,16.01666,12.82834,380.0000,397.6000,369.7409,148.7637,221.1523,1,
5,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF38801,1988,UGSYFREKU3,        -23.667,         29.600,     1250,1988333,1988334,1988343,1989041,1989116,1989116,1989,-99,6077,1326,1326,0,1881,.2985592,444,74.04421,.2182608,2.441947,-99.00000,-99,-99,-99,-99,-99,0,0,301,321,179,141,1,61,5,1,40,0,66,1,6,33,53,18,.8927359E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9239,9239,0,0,92611,92611,320.4688,.000000,23.22167,19.08432,33.89144,-99.00000,5.066870,4.164118,7.394969,-99.00000,151.9278,92.07745,33.15000,20.09091,148,25.63987,13.41487,17.33649,12.68611,380.0000,261.7000,318.4348,139.4148,179.3111,1,
6,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF38901,1989,UGSYFREKU3,        -23.667,         29.600,     1250,1989333,1989334,1989341,1990042,1990105,1990105,1990,-99,8560,2594,2594,0,3699,.2856508,908,151.3359,.3030010,2.087873,-99.00000,-99,-99,-99,-99,-99,0,0,304,361,203,158,1,20,9,1,40,0,74,0,5,39,61,28,.7482606E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9233,9233,0,0,92462,92462,368.3438,.000000,29.63036,24.38783,42.21552,-99.00000,8.978886,7.390242,12.79257,-99.00000,214.0053,115.6785,64.85000,35.05405,136,26.51323,15.07353,16.70662,12.78945,380.0000,288.9000,351.0034,149.5020,202.7740,1,
7,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF39001,1990,UGSYFREKU3,        -23.667,         29.600,     1250,1990333,1990334,1990341,1991036,1991102,1991102,1991,-99,9180,2702,2702,0,3899,.3002326,900,150.0063,.2943628,2.568374,-99.00000,-99,-99,-99,-99,-99,0,0,414,394,240,154,4,60,43,1,40,0,80,2,6,48,67,30,.1032388,-99,-99,-99,-99,-99,-99,-99,-99,0,9223,9223,0,0,92330,92330,454.3125,.000000,22.16820,23.70391,38.27406,-99.00000,6.524994,6.977016,11.26560,-99.00000,229.4962,114.7481,67.55000,33.77500,133,27.05639,14.88872,16.80150,12.81866,380.0000,414.1000,387.2716,148.8298,239.8452,1,
8,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF39101,1991,UGSYFREKU3,        -23.667,         29.600,     1250,1991333,1991334,1991341,1992034,1992089,1992089,1992,-99,7511,1381,1381,0,2451,.1568862,881,146.7544,.1839291,2.534265,-99.00000,-99,-99,-99,-99,-99,0,0,176,242,144,98,2,18,0,1,40,0,67,1,6,33,59,18,.6817011E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9236,9236,0,0,92466,92466,329.9297,.000000,42.60145,31.58076,52.13575,-99.00000,7.833239,5.806836,9.586335,-99.00000,187.7659,112.0990,34.52500,20.61194,120,28.99250,15.97750,17.52334,12.94223,380.0000,176.3000,237.8232,93.95652,144.0592,1,
9,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF39201,1992,UGSYFREKU3,        -23.667,         29.600,     1250,1992333,1992334,1992340,1993032,1993082,1993082,1993,-99,5800,1146,1146,0,1722,.1687103,679,113.2453,.1976517,2.124362,-99.00000,-99,-99,-99,-99,-99,0,0,203,244,130,114,0,7,39,1,40,0,64,0,6,30,55,16,.7205217E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9240,9240,0,0,92508,92508,287.0781,.000000,35.32152,24.23281,44.70801,-99.00000,6.979293,4.788240,8.834000,-99.00000,144.9948,90.62178,28.65000,17.90625,114,28.02632,18.46228,16.91842,13.00980,380.0000,164.2000,239.3364,109.7319,129.7261,1,
10,1,1,1,1,MZ,MZCER048,UGSY1501,N_100                    ,SYFER001,SYF39301,1993,UGSYFREKU3,        -23.667,         29.600,     1250,1993333,1993334,1993340,1994039,1994105,1994105,1994,-99,7083,1360,1360,0,2269,.1925151,707,117.7740,.1920779,2.432681,-99.00000,-99,-99,-99,-99,-99,0,0,161,240,142,98,0,9,0,1,40,0,65,0,7,32,55,17,.6806740E-01,-99,-99,-99,-99,-99,-99,-99,-99,0,9239,9239,0,0,92551,92551,311.0312,.000000,43.93626,29.86986,49.77544,-99.00000,8.436725,5.735667,9.557975,-99.00000,177.0631,108.9619,34.00000,20.92308,136,26.75148,14.90662,16.99706,12.78945,380.0000,161.2000,237.1128,94.89429,142.2896,1,
