RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,PRED,DAYLD,TWLD,SRAD,PARD,CLDD,TMXD,TMND,TAVD,TDYD,TDWD,TGAD,TGRD,WDSD,CO2D,VPDF,VPD
1,UGSY1501,1,0,1,1984,333,1,12.10000,13.34535,14.29930,10.10000,20.20000,.6823580,27.90000,14.30000,21.07614,23.51349,14.30000,21.07614,23.51349,86.40000,380.0000,.000000,.000000
1,UGSY1501,1,0,1,1984,342,10,.000000,13.42012,14.38921,9.400000,18.80000,.7059250,22.80000,13.20000,17.99344,19.72112,13.20000,17.99344,19.72112,86.40000,380.0000,.000000,.000000
1,UGSY1501,1,0,1,1984,352,20,.000000,13.45906,14.43990,14.30000,28.60000,.5537860,27.80000,14.20000,20.99828,23.45104,14.20000,20.99828,23.45104,86.40000,380.0000,.000000,.000000
1,UGSY1501,1,0,1,1984,362,30,.000000,13.44927,14.43530,18.70000,37.40000,.4161154,28.00000,16.20000,22.09686,24.22386,16.20000,22.09686,24.22386,86.40000,380.0000,.000000,.000000
1,UGSY1501,1,0,1,1985,6,40,5.700000,13.39922,14.38163,8.500000,17.00000,.7337003,24.50000,14.30000,19.38998,21.22352,14.30000,19.38998,21.22352,86.40000,380.0000,.000000,.000000
1,UGSY1501,1,0,1,1985,16,50,25.00000,13.30095,14.27477,8.800000,17.60000,.7223229,25.00000,16.20000,20.57895,22.15208,16.20000,20.57895,22.15208,86.40000,380.0000,.000000,.000000
1,UGSY1501,1,0,1,1985,26,60,.000000,13.16322,14.12403,19.70000,39.40000,.3713482,26.60000,15.90000,21.20317,23.10048,15.90000,21.20317,23.10048,86.40000,380.0000,.000000,.000000
1,UGSY1501,1,0,1,1985,36,70,.000000,12.99295,13.93839,20.90000,41.80000,.3222626,28.20000,16.00000,22.01644,24.15694,16.00000,22.01644,24.15694,86.40000,380.0000,.000000,.000000
1,UGSY1501,1,0,1,1985,46,80,.000000,12.79739,13.72723,17.90000,35.80000,.4068628,26.40000,17.10000,21.65961,23.27033,17.10000,21.65961,23.27033,86.40000,380.0000,.000000,.000000
1,UGSY1501,1,0,1,1985,56,90,5.200000,12.58341,13.49934,19.70000,39.40000,.3287603,27.20000,18.30000,22.63517,24.15344,18.30000,22.63517,24.15344,86.40000,380.0000,.000000,.000000
1,UGSY1501,1,0,1,1985,66,100,.000000,12.35710,13.26227,10.10000,20.20000,.6437239,22.30000,17.30000,19.71836,20.55680,17.30000,19.71836,20.55680,86.40000,380.0000,.000000,.000000
1,UGSY1501,1,0,1,1985,76,110,.000000,12.12374,13.02234,21.30000,42.60000,.2167093,25.20000,18.20000,21.56048,22.71218,18.20000,21.56048,22.71218,86.40000,380.0000,.000000,.000000
1,UGSY1501,1,0,1,1985,86,120,.000000,11.88803,12.78472,20.50000,41.00000,.2088155,25.10000,15.40000,20.02435,21.96987,15.40000,20.02435,21.96987,86.40000,380.0000,.000000,.000000
1,UGSY1501,1,0,1,1985,96,130,.000000,11.65444,12.55393,21.90000,43.80000,.1077710,30.00000,14.50000,21.84420,24.90483,14.50000,21.84420,24.90483,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1985,333,1,.000000,13.34535,14.29930,17.80000,35.60000,.4401953,25.50000,15.00000,20.23158,22.11336,15.00000,20.23158,22.11336,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1985,342,10,.4000000,13.42012,14.38921,17.40000,34.80000,.4556484,28.60000,13.60000,21.08975,23.78925,13.60000,21.08975,23.78925,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1985,352,20,.000000,13.45906,14.43990,8.100000,16.20000,.7472495,24.10000,16.60000,20.34905,21.70168,16.60000,20.34905,21.70168,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1985,362,30,4.500000,13.44927,14.43530,16.40000,32.80000,.4879301,30.30000,15.70000,22.99611,25.62782,15.70000,22.99611,25.62782,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1986,7,40,.000000,13.39135,14.37315,13.50000,27.00000,.5768217,26.20000,16.10000,21.13894,22.95371,16.10000,21.13894,22.95371,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1986,17,50,.000000,13.28885,14.26153,19.30000,38.60000,.3904369,27.50000,16.10000,21.77075,23.80724,16.10000,21.77075,23.80724,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1986,27,60,.000000,13.14754,14.10688,19.40000,38.80000,.3800687,28.40000,16.00000,22.14291,24.33958,16.00000,22.14291,24.33958,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1986,37,70,.000000,12.97441,13.91827,7.800000,15.60000,.7465838,23.10000,18.00000,20.51369,21.40742,18.00000,20.51369,21.40742,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1986,47,80,.000000,12.77672,13.70506,13.10000,26.20000,.5648316,24.20000,15.00000,19.50777,21.09891,15.00000,19.50777,21.09891,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1986,57,90,.000000,12.56124,13.47593,13.00000,26.00000,.5556502,20.00000,15.00000,17.43382,18.28540,15.00000,17.43382,18.28540,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1986,67,100,.000000,12.33400,13.23832,22.00000,44.00000,.2209597,29.50000,12.70000,20.81977,23.63178,12.70000,20.81977,23.63178,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1986,77,110,3.500000,12.10020,12.99839,16.80000,33.60000,.3793823,26.70000,17.00000,21.65310,23.24584,17.00000,21.65310,23.24584,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1986,87,120,.000000,11.86450,12.76127,22.60000,45.20000,.1232454,27.50000,12.20000,19.48960,22.55365,12.20000,19.48960,22.55365,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1986,97,130,.000000,11.63138,12.53139,18.80000,37.60000,.2297053,28.20000,11.30000,19.30265,22.63434,11.30000,19.30265,22.63434,86.40000,380.0000,.000000,.000000
2,UGSY1501,1,0,1,1986,101,134,22.50000,11.53989,12.44240,19.80000,39.60000,.1697616,29.50000,15.80000,22.27154,24.95485,15.80000,22.27154,24.95485,86.40000,380.0000,.000000,.000000
3,UGSY1501,1,0,1,1986,333,1,11.00000,13.34535,14.29930,6.000000,12.00000,.8113018,17.60000,15.60000,16.59649,16.95493,15.60000,16.59649,16.95493,86.40000,380.0000,.000000,.000000
3,UGSY1501,1,0,1,1986,342,10,.000000,13.42012,14.38921,19.60000,39.20000,.3868223,26.30000,18.30000,22.29453,23.73427,18.30000,22.29453,23.73427,86.40000,380.0000,.000000,.000000
