"YEAR","Season_Rainfall","Mean_Temperature","Mean_Max_Temperature","Mean_Min_Temperature","Mean_Radiation"
1984,48.4,20.54118,26.625,14.475,13.125
1985,163.2,21.0926571428571,26.3571428571429,16.0071428571429,16.3571428571429
1986,167.2,20.3454513333333,25.6466666666667,15.3066666666667,15.7933333333333
1987,23.6,22.6107333333333,26.2,20.05,14.9
1988,277.6,19.973936,24.5466666666667,15.6133333333333,15.74
1989,154.8,19.279535625,25.5375,13.29375,17.05
1990,84.4,20.859406,27.4933333333333,14.4866666666667,16.76
1991,118.4,20.6166206666667,26.9866666666667,14.5066666666667,16.3066666666667
1992,0,22.3586742857143,29.8142857142857,15.1785714285714,19.9785714285714
1993,183.6,22.0338492307692,26.3076923076923,17.8153846153846,14.6461538461538
1994,44.8,20.517726,26.84,14.4666666666667,17.4866666666667
1995,114.4,20.298814,27.6333333333333,13.28,18.5533333333333
1996,93.2,18.5381805882353,24.3470588235294,13.0647058823529,16.2529411764706
1997,82.8,20.533482,26.0466666666667,15.3,17.44
1998,6,22.6650791666667,28.425,17.0833333333333,17.2583333333333
1999,74.8,21.0495006666667,27.5133333333333,14.8933333333333,20.26
2000,412.4,20.206474,23.7933333333333,16.72,13.3066666666667
2001,34.8,20.175138,25.9466666666667,14.6066666666667,15.5
2002,56,22.0914007142857,29.3071428571429,15.15,18.7142857142857
2003,0,22.4414785714286,28.3928571428571,16.7142857142857,17.9857142857143
2004,156,21.7168835714286,27.3071428571429,16.3357142857143,14.4571428571429
2005,84,22.3273057142857,27.9428571428571,16.9285714285714,15.7428571428571
2006,226,21.0647733333333,26.4,15.9466666666667,15.0133333333333
2007,126.8,20.9474021428571,26.5,15.5857142857143,14.7714285714286
2008,46,20.2081375,27.24375,13.55625,18.725
2009,101.6,22.3301185714286,29.0357142857143,15.8857142857143,22.1714285714286
2010,15.6,21.5890614285714,28.1428571428571,15.2642857142857,19.05
2011,26,21.1664657142857,28.1642857142857,14.4285714285714,20.1142857142857
2012,0,21.7787021428571,29.1357142857143,14.7071428571429,20.2857142857143
2013,141.6,20.3050146666667,27.66,13.3133333333333,21.1333333333333
2014,326,20.8869433333333,26.8866666666667,15.14,17.5933333333333
2015,46,22.7394007142857,29.2857142857143,16.4285714285714,21.3642857142857
2016,175.6,22.8278030769231,29.8384615384615,16.0230769230769,21.7615384615385
2017,15.2,19.60697,23.4181818181818,15.5545454545455,22.2
2018,15.2,22.7302225,28.975,16.5,18.675
2019,27.2,21.9967725,28.775,15.35,23.25
